date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:35:56	52711/52711	---M--	200	added ('OK')	image/jpeg	etag:%22cde7-69980bf7-602f1e9c32f0fc3c;;;%22	https://prodesk.in/assets/images/img_c501054127.jpg	D:/ansh.ts/Prodesk/prodesk.in/assets/images/img_c501054127.jpg	(from https://prodesk.in/)
12:35:56	240767/240767	---M-Z	200	added ('OK')	text/html	etag:%223ac7f-69980bf7-ee7267a58443af5d;gz%22	https://prodesk.in/index.html	D:/ansh.ts/Prodesk/prodesk.in/index-2.html	(from https://prodesk.in/)
12:35:56	7288/7288	---M--	200	added ('OK')	image/png	etag:%221c78-69980bf6-b8c7729b82751178;;;%22	https://prodesk.in/assets/images/img_11b1956777.png	D:/ansh.ts/Prodesk/prodesk.in/assets/images/img_11b1956777.png	(from https://prodesk.in/)
12:35:57	164441/164441	---M-Z	200	added ('OK')	text/html	etag:%2228259-69980bf8-2b7e066377db6b67;gz%22	https://prodesk.in/about-us.html	D:/ansh.ts/Prodesk/prodesk.in/about-us.html	(from https://prodesk.in/)
12:35:57	163093/163093	---M-Z	200	added ('OK')	text/html	etag:%2227d15-69980bf8-5a1b0f60a7937cf4;gz%22	https://prodesk.in/our-values.html	D:/ansh.ts/Prodesk/prodesk.in/our-values.html	(from https://prodesk.in/)
12:35:57	162679/162679	---M-Z	200	added ('OK')	text/html	etag:%2227b77-69980bf7-c23a6c6f4921a089;gz%22	https://prodesk.in/our-vision.html	D:/ansh.ts/Prodesk/prodesk.in/our-vision.html	(from https://prodesk.in/)
12:35:57	164865/164865	---M-Z	200	added ('OK')	text/html	etag:%2228401-69980bf4-498106021811bdf6;gz%22	https://prodesk.in/who-we-are.html	D:/ansh.ts/Prodesk/prodesk.in/who-we-are.html	(from https://prodesk.in/)
12:35:58	165550/165550	---M-Z	200	added ('OK')	text/html	etag:%22286ae-69980bf8-80343654d02ca88;gz%22	https://prodesk.in/what-we-do.html	D:/ansh.ts/Prodesk/prodesk.in/what-we-do.html	(from https://prodesk.in/)
12:35:58	171646/171646	---M-Z	200	added ('OK')	text/html	etag:%2229e7e-69980bf8-20193680b5d4e467;gz%22	https://prodesk.in/software-development.html	D:/ansh.ts/Prodesk/prodesk.in/software-development.html	(from https://prodesk.in/)
12:35:58	176509/176509	---M-Z	200	added ('OK')	text/html	etag:%222b17d-69980bf8-c80bd0f65c6f86cf;gz%22	https://prodesk.in/web-development.html	D:/ansh.ts/Prodesk/prodesk.in/web-development.html	(from https://prodesk.in/)
12:35:59	184963/184963	---M-Z	200	added ('OK')	text/html	etag:%222d283-69980bf8-1f27427f55ab36bb;gz%22	https://prodesk.in/mobile-app-development.html	D:/ansh.ts/Prodesk/prodesk.in/mobile-app-development.html	(from https://prodesk.in/)
12:35:59	166846/166846	---M-Z	200	added ('OK')	text/html	etag:%2228bbe-69980bf8-a22edc663f71b78e;gz%22	https://prodesk.in/crm-solutions.html	D:/ansh.ts/Prodesk/prodesk.in/crm-solutions.html	(from https://prodesk.in/)
12:35:59	167922/167922	---M-Z	200	added ('OK')	text/html	etag:%2228ff2-69980bf8-d934f91af9688f97;gz%22	https://prodesk.in/hrm-software.html	D:/ansh.ts/Prodesk/prodesk.in/hrm-software.html	(from https://prodesk.in/)
12:35:59	165445/165445	---M-Z	200	added ('OK')	text/html	etag:%2228645-69980bf8-652b0e8609be85c5;gz%22	https://prodesk.in/healthcare-systems.html	D:/ansh.ts/Prodesk/prodesk.in/healthcare-systems.html	(from https://prodesk.in/)
12:36:00	140636/140636	---M-Z	200	added ('OK')	text/html	etag:%222255c-69980bf7-9e123c213a2f6fb4;gz%22	https://prodesk.in/cloud-services.html	D:/ansh.ts/Prodesk/prodesk.in/cloud-services.html	(from https://prodesk.in/)
12:36:00	141330/141330	---M-Z	200	added ('OK')	text/html	etag:%2222812-69980bf8-e9fa02622a398b2b;gz%22	https://prodesk.in/data-analytics.html	D:/ansh.ts/Prodesk/prodesk.in/data-analytics.html	(from https://prodesk.in/)
12:36:00	141147/141147	---M-Z	200	added ('OK')	text/html	etag:%222275b-69980bf7-60598a430c4439b1;gz%22	https://prodesk.in/ai-machine-learning.html	D:/ansh.ts/Prodesk/prodesk.in/ai-machine-learning.html	(from https://prodesk.in/)
12:36:00	141468/141468	---M-Z	200	added ('OK')	text/html	etag:%222289c-69980bf8-f309f63cf65350d6;gz%22	https://prodesk.in/consulting-it-strategy.html	D:/ansh.ts/Prodesk/prodesk.in/consulting-it-strategy.html	(from https://prodesk.in/)
12:36:01	141480/141480	---M-Z	200	added ('OK')	text/html	etag:%22228a8-69980bf8-aeba46b05ac2d6df;gz%22	https://prodesk.in/cybersecurity-services.html	D:/ansh.ts/Prodesk/prodesk.in/cybersecurity-services.html	(from https://prodesk.in/)
12:36:01	140847/140847	---M-Z	200	added ('OK')	text/html	etag:%222262f-69980bf7-2104451464291b2e;gz%22	https://prodesk.in/logo-design.html	D:/ansh.ts/Prodesk/prodesk.in/logo-design.html	(from https://prodesk.in/)
12:36:01	141404/141404	---M-Z	200	added ('OK')	text/html	etag:%222285c-69980bf8-72df619ccdc47ae0;gz%22	https://prodesk.in/internet-of-things.html	D:/ansh.ts/Prodesk/prodesk.in/internet-of-things.html	(from https://prodesk.in/)
12:36:01	170159/170159	---M-Z	200	added ('OK')	text/html	etag:%22298af-69980bf8-c5fd159834f184ce;gz%22	https://prodesk.in/ai-ml.html	D:/ansh.ts/Prodesk/prodesk.in/ai-ml.html	(from https://prodesk.in/)
12:36:02	144208/144208	---M-Z	200	added ('OK')	text/html	etag:%2223350-69980bf4-2bd22f057bb8700f;gz%22	https://prodesk.in/cloud-computing-devops.html	D:/ansh.ts/Prodesk/prodesk.in/cloud-computing-devops.html	(from https://prodesk.in/)
12:36:02	144588/144588	---M-Z	200	added ('OK')	text/html	etag:%22234cc-69980bf8-1674bb4e68f981fd;gz%22	https://prodesk.in/python-backend.html	D:/ansh.ts/Prodesk/prodesk.in/python-backend.html	(from https://prodesk.in/)
12:36:02	145033/145033	---M-Z	200	added ('OK')	text/html	etag:%2223689-69980bf8-45ffce4f820af990;gz%22	https://prodesk.in/react-modern-frontend.html	D:/ansh.ts/Prodesk/prodesk.in/react-modern-frontend.html	(from https://prodesk.in/)
12:36:03	145979/145979	---M-Z	200	added ('OK')	text/html	etag:%2223a3b-69980bf8-c89a486c50e1ac2e;gz%22	https://prodesk.in/mobile-technologies.html	D:/ansh.ts/Prodesk/prodesk.in/mobile-technologies.html	(from https://prodesk.in/)
12:36:03	145314/145314	---M-Z	200	added ('OK')	text/html	etag:%22237a2-69980bf8-d0daa55073b29e0;gz%22	https://prodesk.in/data-analytics-tech.html	D:/ansh.ts/Prodesk/prodesk.in/data-analytics-tech.html	(from https://prodesk.in/)
12:36:03	145496/145496	---M-Z	200	added ('OK')	text/html	etag:%2223858-69980bf4-2531851472fbb512;gz%22	https://prodesk.in/internet-of-things-iot.html	D:/ansh.ts/Prodesk/prodesk.in/internet-of-things-iot.html	(from https://prodesk.in/)
12:36:04	145884/145884	---M-Z	200	added ('OK')	text/html	etag:%22239dc-69980bf8-29f710dd2bb36166;gz%22	https://prodesk.in/cybersecurity.html	D:/ansh.ts/Prodesk/prodesk.in/cybersecurity.html	(from https://prodesk.in/)
12:36:04	145418/145418	---M-Z	200	added ('OK')	text/html	etag:%222380a-69980bf8-8bf4bd107e3ca987;gz%22	https://prodesk.in/java-enterprise-solutions.html	D:/ansh.ts/Prodesk/prodesk.in/java-enterprise-solutions.html	(from https://prodesk.in/)
12:36:04	144690/144690	---M-Z	200	added ('OK')	text/html	etag:%2223532-69980bf7-c039bf2e9e3716ce;gz%22	https://prodesk.in/blockchain-web3.html	D:/ansh.ts/Prodesk/prodesk.in/blockchain-web3.html	(from https://prodesk.in/)
12:36:04	145211/145211	---M-Z	200	added ('OK')	text/html	etag:%222373b-69980bf8-3a0d486d1b63fca4;gz%22	https://prodesk.in/automated-testing.html	D:/ansh.ts/Prodesk/prodesk.in/automated-testing.html	(from https://prodesk.in/)
12:36:05	144838/144838	---M-Z	200	added ('OK')	text/html	etag:%22235c6-69980bf8-be201eae8f521be9;gz%22	https://prodesk.in/robotic-automation.html	D:/ansh.ts/Prodesk/prodesk.in/robotic-automation.html	(from https://prodesk.in/)
12:36:05	145010/145010	---M-Z	200	added ('OK')	text/html	etag:%2223672-69980bf8-e6f16bfab23b04ea;gz%22	https://prodesk.in/enterprise-crm-solutions.html	D:/ansh.ts/Prodesk/prodesk.in/enterprise-crm-solutions.html	(from https://prodesk.in/)
